Name,Description,Priority,Notes,IfUsed
Appliance Management Health Alarm,Appliance Management service alarm to monitor health status,Low,,
Autodeploy Disk Exhaustion on vCenterServerHostname,Alarm that monitors vSphere Autodeploy File System Resource Exhaustion.,High,New in 6.7u1,
Backup job status,Default alarm to monitor backup job status.,High,New in 6.7u2,
Boot Disk Exhaustion on vCenterServerHostname,Alarm that monitors vSphere Boot File System Resource Exhaustion.,High,New in 6.7u1,
Cannot connect to storage,Default alarm to monitor host connectivity to storage device,High,,
Cannot find vSphere HA master agent,Default alarm to alert when vCenter Server has been unable to connect to a vSphere HA master agent for a prolonged period,High,,
Certificate Status,Default alarm that monitors whether a certificate is getting close to its expiration date.,Low,,
Cis License Health Alarm,Cis License service alarm to monitor health status,Low,,
Component Manager Service Health Alarm,Default alarm that monitors the health status of Component Manager Service.,Medium,New in 6.5,
Content Library Service Health Alarm,Default alarm that monitors the health status of the VMware Content Library Service.,Low,,
Core and Inventory Disk Exhaustion on vCenterServerHostname,Alarm that monitors vSphere Core and Inventory File System Resource Exhaustion.,High,New in 6.7u1,
CPU Exhaustion on vCenterServerHostname,Alarm that monitors vSphere CPU Resource Exhaustion.,High,New in 6.7u1,
Data Service Health Alarm,Data Service service alarm to monitor health status,Medium,,Medium
Database Health Alarm,Default alarm that monitors the database health status.,High,New in 6.5,
Datastore capability alarm,Default alarm that is triggered when the capability status of volumes backing the datastore changes,Low,,
Datastore cluster is out of space,Alarm that monitors when a datastore cluster is out of space,High,,
Datastore compliance alarm,Default alarm that is triggered when the virtual disk on the datastore goes out of compliance with the object-based storage,Low,,
Datastore is in multiple datacenters,Datastore in a datastore cluster is visible in more than one datacenter,Low,,
Datastore usage on disk,Default alarm to monitor datastore disk usage,Medium,,
Diagnostics Disk Exhaustion on vCenterServerHostname,Alarm that monitors vSphere Diagnostics File System Resource Exhaustion.,High,New in 6.7u1,
Errors occurred on the disk(s) of a vSAN host,Default alarm that monitors whether there are errors on the host disk(s) in the vSAN cluster.,Medium,,
ESX Agent Manager Health Alarm,ESX Agent Manager service alarm to monitor health status,Low,,
ESXi Dump Collector Disk Exhaustion on vCenterServerHostname,Alarm that monitors vSphere ESXi Dump Collector File System Resource Exhaustion.,High,New in 6.7u1,
ESXi Host Certificate Status,Alarm to indicate certificate status of an ESXi host,Low,,
Exit standby error,Default alarm to monitor if a host cannot exit standby mode,Low,,
Expired host license,Default alarm to monitor for expired host license or evaluation period.,Medium,,
Expired host time-limited license,Default alarm to monitor for expired host time-limited license.,Medium,,
Expired vCenter Server license,Default alarm to monitor for expired vCenter Server license or evaluation period.,Medium,,
Expired vCenter Server time-limited license,Default alarm to monitor for expired vCenter Server time-limited license.,Medium,,
Expired vSAN license,Default alarm for expired vSAN license or evaluation period.,Medium,,
Expired vSAN time-limited license,Default alarm to monitor for expired vSAN time-limited license.,Medium,,
Failover Failed Alarm,Alarm to indicate that failover has failed,High,New in 6.7u2,
Health status changed alarm,Default alarm to monitor changes to service and extension health status,Medium,,
Host Baseboard Management Controller status,Monitors the status of the Baseboard Management Controller. See the host's Hardware Status tab for more details.,Low,,
Host battery status,Default alarm to monitor batteries.  See the host's Hardware Status tab for more details.,High,,
Host compliance check for hyperconverged cluster configuration,Default alarm to monitor changes for the health test 'Host compliance check for hyperconverged cluster configuration',High,New in 6.7u1,
Host connection and power state,Default alarm to monitor host connection and power state,High,,
Host connection failure,Default alarm to monitor host connection failure,High,,
Host CPU usage,Default alarm to monitor host CPU usage,Medium,,
Host error,Default alarm to monitor host error and warning events,High,,
Host hardware fan status,Default alarm to monitor fans.  See the host's Hardware Status tab for more details.,High,,
Host hardware power status,Default alarm to monitor power.  See the host's Hardware Status tab for more details.,High,,
Host hardware sensor state,Default alarm to monitor sensor state change.  See the host's Hardware Status tab for more details.,High,New in 6.7u1,
Host hardware system board status,Default alarm to monitor system boards.  See the host's Hardware Status tab for more details.,High,,
